ORTHO;PERIODE;NBLET;CP_U;GRAM
glace;2;5;332.42;NC
glaçon;2;6;10.70;NC
ici;2;3;253.98;ADV
leçon;2;5;96.92;NC
police;2;6;65.26;NC
prince;2;6;110.03;NC
puce;2;4;19.47;NC
reçu;2;4;87.88;VER
piscine;2;7;174.83;NC
scie;2;4;15.40;NC
agir;3;4;1.05;VER
bougie;3;6;58.46;NC
cage;3;4;154.77;NC
étage;3;5;10.75;NC
fromage;3;7;292.47;NC
garage;3;6;107.46;NC
gorge;3;5;3.89;NC
juge;3;4;3.97;NC
mange;3;5;399.35;VER
mangé;3;5;198.15;VER
nage;3;4;63.28;VER
orange;3;6;73.10;NC
page;3;4;140.13;NC
plage;3;5;31.04;NC
rouge;3;5;604.79;ADJ
sage;3;4;16.23;ADJ
singe;3;5;62.87;NC
amuse;3;5;98.36;VER
assise;3;6;29.61;VER
base;3;4;0.61;NC
bise;3;4;3.86;NC
bison;3;5;0.62;NC
bisou;3;5;12.69;NC
blouse;3;6;#N/A;#N/A
cerise;3;6;35.48;NC
chose;3;5;202.75;NC
cousin;3;6;67.69;NC
désert;3;6;8.20;NC
écrasé;3;6;1.25;VER
frisé;3;5;0.75;ADJ
mise;3;4;3.89;VER
osé;3;3;0.50;VER
posé;3;4;43.88;VER
rose;3;4;173.53;ADJ
ruse;3;4;8.37;NC
trésor;3;6;45.34;NC
usé;3;3;3.80;ADJ
usine;3;5;6.82;NC
valise;3;6;123.39;NC
vase;3;4;81.74;NC
visage;3;6;96.05;NC
aller;3;5;448.51;VER
amuser;3;6;63.93;VER
diner;3;5;#N/A;#N/A
jeter;3;5;67.58;VER
jouer;3;5;413.31;VER
laver;3;5;139.81;VER
lever;3;5;15.96;VER
nager;3;5;44.53;VER
oser;3;4;#N/A;#N/A
parler;3;6;64.18;VER
passer;3;6;186.48;VER
porter;3;6;54.50;VER
rentrer;3;7;111.15;VER
tirer;3;5;10.63;VER
trouver;3;7;148.82;VER
verser;3;6;10.18;VER
avoir;1;5;342.64;VER
boire;2;5;111.93;VER
foi;1;3;10.62;NC
loi;1;3;0.50;NC
miroir;1;6;83.31;NC
moi;1;3;1703.18;PRO
noir;1;4;263.80;ADJ
noix;1;4;84.17;NC
oie;1;3;57.44;NC
poil;1;4;8.45;NC
poivre;1;6;22.15;NC
quoi;2;4;316.33;PRO
roi;1;3;359.81;NC
savoir;1;6;88.92;VER
soi;1;3;19.18;PRO
soif;1;4;85.63;NC
soir;1;4;518.16;NC
toi;1;3;888.67;PRO
toit;1;4;173.61;NC
voici;2;5;436.60;PRE
voir;1;4;572.73;VER
après;2;5;440.66;PRE
colère;2;6;176.68;NC
crème;2;5;111.08;NC
dès;2;3;126.79;PRE
frère;2;5;334.87;NC
lève;2;4;247.22;VER
mère;2;4;383.36;NC
pèle;2;4;8.35;VER
père;2;4;492.62;NC
règle;2;5;70.35;NC
sèche;2;5;8.16;ADJ
sirène;2;6;34.39;NC
très;2;4;2024.57;ADV
zèbre;2;5;120.26;NC
béret;3;5;0.30;NC
chalet;3;6;38.82;NC
et;3;2;16574.33;CON
filet;3;5;65.11;NC
furet;3;5;0.50;NC
navet;3;5;0.61;_NC
tabouret;3;8;35.69;NC
gilet;3;5;22.01;NC
poulet;3;6;127.78;NC
robinet;3;7;64.69;NC
secret;3;6;59.25;NC
sifflet;3;7;32.69;NC
sujet;3;5;0.52;NC
violet;3;6;19.11;NC
au;3;2;4773.80;DET
aussi;3;5;1355.04;ADV
auto;3;4;108.98;NC
autre;3;5;395.06;ADJ
bateau;3;6;190.37;NC
bureau;3;6;49.65;NC
cerveau;3;7;#N/A;#N/A
chameau;3;7;41.33;NC
chaude;3;6;65.21;ADJ
corbeau;3;7;179.13;NC
couteau;3;7;80.54;NC
eau;3;3;1148.41;NC
épaule;3;6;48.51;NC
faucon;3;6;5.52;NC
fauve;3;5;8.22;NC
jaune;3;5;275.57;ADJ
marteau;3;7;53.99;NC
niveau;3;6;0.61;NC
pause;3;5;7.44;NC
sauce;3;5;28.79;NC
sauf;3;4;32.72;PRE
courant;3;7;61.07;VER
criant;3;6;18.46;VER
jouant;3;6;15.59;VER
lisant;3;6;3.69;VER
pesant;3;6;#N/A;#N/A
riant;3;5;36.00;VER
vivant;3;6;0.50;ADJ
volant;3;6;10.77;NC
dehors;3;6;126.56;ADV
habitat;3;7;#N/A;#N/A
habite;3;6;153.92;VER
haricot;3;7;23.11;NC
haut;3;4;164.38;NC
herbe;3;5;153.72;NC
hier;3;4;63.77;ADV
histoire;3;8;852.75;NC
hiver;3;5;355.47;NC
horloge;3;7;58.08;NC
action;3;6;#N/A;#N/A
émotion;3;7;0.30;NC
éruption;3;8;#N/A;#N/A
natation;3;8;22.16;NC
patient;3;7;0.50;ADJ
position;3;8;#N/A;#N/A
potion;3;6;0.15;NC
solution;3;8;27.08;NC
station;3;7;26.37;NC
axe;3;3;0.30;NC
boxe;3;4;51.14;NC
excuser;3;7;0.53;VER
fixer;3;5;8.22;VER
taxi;3;4;126.29;NC
agneau;3;6;105.81;NC
campagne;3;8;155.93;NC
gagnant;3;7;14.49;NC
gagné;3;5;104.98;VER
grignote;3;8;59.00;VER
grogne;3;6;35.51;VER
guignol;3;7;75.35;NC
ligne;3;5;184.72;NC
mignon;3;6;52.00;ADJ
poignet;3;7;1.21;NC
signal;3;6;73.21;NC
signe;3;5;56.03;NC
soigne;3;6;56.93;VER
vigne;3;5;19.07;NC
aide;2;4;53.12;NC
aigle;2;5;3.64;NC
aigu;2;4;#N/A;#N/A
aile;2;4;63.96;NC
aimer;3;5;5.52;VER
air;2;3;437.83;NC
balai;2;5;108.18;NC
caisse;2;6;126.75;NC
chaise;3;6;142.49;NC
craie;2;5;13.56;NC
éclair;2;6;30.90;NC
faible;2;6;1.22;NC
faire;2;5;2007.37;VER
fait;2;4;2495.73;VER
fraise;3;6;113.24;NC
laine;2;5;160.91;NC
lait;2;4;374.37;NC
laitue;2;6;16.61;NC
mai;2;3;5.24;NC
maison;3;6;1460.96;NC
paire;2;5;70.07;NC
plaisir;3;7;38.96;NC
quai;2;4;22.11;NC
raisins;3;7;3.98;NC
allez;3;5;106.07;VER
nez;3;3;566.92;NC
bavard;3;6;3.83;ADJ
blanc;3;5;297.43;ADJ
blond;3;5;25.92;ADJ
bord;3;4;356.78;NC
cerf;3;4;#N/A;#N/A
chaud;3;5;133.58;ADJ
coup;3;4;491.02;NC
crapaud;3;7;18.40;NC
fond;3;4;112.48;NC
froid;3;5;172.72;ADJ
fusil;3;5;44.60;NC
galop;3;5;13.46;NC
grand;3;5;642.30;ADJ
lézard;3;6;51.66;NC
