ORTHO;PERIODE;NBLET;CP_U;GRAM;freq_CP;nblet_mot;CV_ortho;CV_phono;is_easy_vc
anorak;2;6;35.76;NC;rares;long;VCVCVC;VCVCVC;0
karaté;2;6;3.74;NC;rares;long;CVCVCV;CVCVCV;1
képi;2;4;44.35;NC;frequents;court;CVCV;CVCV;1
kilo;2;4;75.75;NC;frequents;court;CVCV;CVCV;1
kimono;2;6;49.39;NC;frequents;long;CVCVCV;CVCVCV;1
koala;2;5;13.93;NC;rares;court;CVVCV;CVVCV;0
ski;2;3;159.32;NC;frequents;court;CCV;CCV;0
brique;2;6;7.97;NC;rares;long;CCVCVV;CCVC;0
casque;2;6;19.6;NC;rares;long;CVCCVV;CVCC;0
chaque;2;6;660.06;ADJ;frequents;long;CCVCVV;CVC;0
claque;2;6;10.63;NC;rares;long;CCVCVV;CCVC;0
coq;2;3;159.76;NC;frequents;court;CVC;CVC;0
équipe;2;6;90.42;NC;frequents;long;VCVVCV;VCVC;0
liquide;2;7;10.56;NC;rares;long;CVCVVCV;CVCVC;0
masque;2;6;107.22;NC;frequents;long;CVCCVV;CVCC;0
nuque;2;5;1.5;NC;rares;court;CVCVV;CVC;0
piqué;2;5;8.14;VER;rares;court;CVCVV;CVCV;0
quart;2;5;0.42;NC;rares;court;CVVCC;CVC;0
que;2;3;2806.59;CON;frequents;court;CVV;CV;0
qui;2;3;6617.53;PRO;frequents;court;CVV;CV;0
risque;2;6;13.38;VER;rares;long;CVCCVV;CVCC;0
taquine;2;7;7.63;VER;rares;long;CVCVVCV;CVCVC;0
azur;2;4;3.97;NC;rares;court;VCVC;VCVC;0
bazar;2;5;29.45;NC;rares;court;CVCVC;CVCVC;0
bizarre;2;7;117.57;ADJ;frequents;long;CVCVCCV;CVCVC;0
douze;2;5;73.08;ADJ;frequents;court;CVVCV;CVC;0
gaz;2;3;21.94;NC;rares;court;CVC;CVC;0
zéro;2;4;63.81;NC;frequents;court;CVCV;CVCV;1
zoo;2;3;145.77;NC;frequents;court;CVV;CVV;0
es;2;2;377.17;VER;frequents;court;VC;V;0
des;2;3;10966.62;DET;frequents;court;CVC;CV;0
les;2;3;13993.85;DET;frequents;court;CVC;CV;0
mes;2;3;430.31;DET;frequents;court;CVC;CV;0
ses;2;3;2209.86;DET;frequents;court;CVC;CV;0
tes;2;3;229.48;DET;frequents;court;CVC;CV;0
est;2;3;18352.48;VER;frequents;court;VCC;VCC;0
dent;2;4;128.7;NC;frequents;court;CVCC;CV;0
en;2;2;6156.27;PRE;frequents;court;VC;V;0
encore;2;6;794.32;ADV;frequents;long;VCCVCV;VCVC;0
entré;2;5;3.89;VER;rares;court;VCCCV;VCCV;0
envie;2;5;166.73;NC;frequents;court;VCCVV;VCV;0
lent;2;4;10.86;ADJ;rares;court;CVCC;CV;0
ment;2;4;4.03;VER;rares;court;CVCC;CV;0
mentir;2;6;5.49;VER;rares;long;CVCCVC;CVCVC;0
prendre;2;7;232.09;VER;frequents;long;CCVCCCV;CCVCC;0
sentir;2;6;5.58;VER;rares;long;CVCCVC;CVCVC;0
tente;2;5;55.38;NC;frequents;court;CVCCV;CVC;0
vendre;2;6;47.78;VER;frequents;long;CVCCCV;CVCC;0
vent;2;4;422.01;NC;frequents;court;CVCC;CV;0
ventre;2;6;176.35;NC;frequents;long;CVCCCV;CVCC;0
