ORTHO;PERIODE;NBLET;CP_U;GRAM;freq_CP;nblet_mot;CV_ortho;CV_phono;is_easy_vc
frisé;3;5;0.75;ADJ;rares;court;CCVCV;CCVCV;0
mise;3;4;3.89;VER;rares;court;CVCV;CVC;1
osé;3;3;0.5;VER;rares;court;VCV;VCV;1
posé;3;4;43.88;VER;frequents;court;CVCV;CVCV;1
rose;3;4;173.53;ADJ;frequents;court;CVCV;CVC;1
ruse;3;4;8.37;NC;rares;court;CVCV;CVC;1
trésor;3;6;45.34;NC;frequents;long;CCVCVC;CCVCVC;0
usé;3;3;3.8;ADJ;rares;court;VCV;VCV;1
usine;3;5;6.82;NC;rares;court;VCVCV;VCVC;1
valise;3;6;123.39;NC;frequents;long;CVCVCV;CVCVC;1
vase;3;4;81.74;NC;frequents;court;CVCV;CVC;1
visage;3;6;96.05;NC;frequents;long;CVCVCV;CVCVC;1
aller;3;5;448.51;VER;frequents;court;VCCVC;VCV;0
amuser;3;6;63.93;VER;frequents;long;VCVCVC;VCVCV;0
jeter;3;5;67.58;VER;frequents;court;CVCVC;CVCV;0
jouer;3;5;413.31;VER;frequents;court;CVVVC;CYV;0
laver;3;5;139.81;VER;frequents;court;CVCVC;CVCV;0
lever;3;5;15.96;VER;rares;court;CVCVC;CVCV;0
nager;3;5;44.53;VER;frequents;court;CVCVC;CVCV;0
parler;3;6;64.18;VER;frequents;long;CVCCVC;CVCCV;0
passer;3;6;186.48;VER;frequents;long;CVCCVC;CVCV;0
porter;3;6;54.5;VER;frequents;long;CVCCVC;CVCCVC;0
rentrer;3;7;111.15;VER;frequents;long;CVCCCVC;CVCCV;0
tirer;3;5;10.63;VER;rares;court;CVCVC;CVCV;0
trouver;3;7;148.82;VER;frequents;long;CCVVCVC;CCVCV;0
verser;3;6;10.18;VER;rares;long;CVCCVC;CVCCV;0
avoir;1;5;342.64;VER;frequents;court;VCVVC;VCYVC;0
boire;2;5;111.93;VER;frequents;court;CVVCV;CYVC;0
foi;1;3;10.62;NC;rares;court;CVV;CYV;0
loi;1;3;0.5;NC;rares;court;CVV;CYV;0
miroir;1;6;83.31;NC;frequents;long;CVCVVC;CVCYVC;0
moi;1;3;1703.18;PRO;frequents;court;CVV;CYV;0
noir;1;4;263.8;ADJ;frequents;court;CVVC;CYVC;0
noix;1;4;84.17;NC;frequents;court;CVVC;CYV;0
oie;1;3;57.44;NC;frequents;court;VVV;YV;0
poil;1;4;8.45;NC;rares;court;CVVC;CYVC;0
poivre;1;6;22.15;NC;rares;long;CVVCCV;CYVCC;0
quoi;2;4;316.33;PRO;frequents;court;CVVV;CYV;0
roi;1;3;359.81;NC;frequents;court;CVV;CYV;0
savoir;1;6;88.92;VER;frequents;long;CVCVVC;CVCYVC;0
soi;1;3;19.18;PRO;rares;court;CVV;CYV;0
soif;1;4;85.63;NC;frequents;court;CVVC;CYVC;0
soir;1;4;518.16;NC;frequents;court;CVVC;CYVC;0
toi;1;3;888.67;PRO;frequents;court;CVV;CYV;0
toit;1;4;173.61;NC;frequents;court;CVVC;CYV;0
voici;2;5;436.6;PRE;frequents;court;CVVCV;CYVCV;0
voir;1;4;572.73;VER;frequents;court;CVVC;CYVC;0
après;2;5;440.66;PRE;frequents;court;VCCVC;VCCV;0
colère;2;6;176.68;NC;frequents;long;CVCVCV;CVCVC;1
crème;2;5;111.08;NC;frequents;court;CCVCV;CCVC;0
dès;2;3;126.79;PRE;frequents;court;CVC;CV;0
frère;2;5;334.87;NC;frequents;court;CCVCV;CCVC;0
lève;2;4;247.22;VER;frequents;court;CVCV;CVC;1
mère;2;4;383.36;NC;frequents;court;CVCV;CVC;1
pèle;2;4;8.35;VER;rares;court;CVCV;CVC;1
père;2;4;492.62;NC;frequents;court;CVCV;CVC;1
règle;2;5;70.35;NC;frequents;court;CVCCV;CVCC;0
sèche;2;5;8.16;ADJ;rares;court;CVCCV;CVC;0
sirène;2;6;34.39;NC;rares;long;CVCVCV;CVCVC;1
très;2;4;2024.57;ADV;frequents;court;CCVC;CCV;0
zèbre;2;5;120.26;NC;frequents;court;CVCCV;CVCC;0
béret;3;5;0.3;NC;rares;court;CVCVC;CVCV;0
chalet;3;6;38.82;NC;rares;long;CCVCVC;CVCV;0
et;3;2;16574.33;CON;frequents;court;VC;V;0
filet;3;5;65.11;NC;frequents;court;CVCVC;CVCV;0
furet;3;5;0.5;NC;rares;court;CVCVC;CVCV;0
navet;3;5;0.61;_NC;rares;court;CVCVC;CVCV;0
tabouret;3;8;35.69;NC;rares;long;CVCVVCVC;CVCVCV;0
gilet;3;5;22.01;NC;rares;court;CVCVC;CVCV;0
poulet;3;6;127.78;NC;frequents;long;CVVCVC;CVCV;0
robinet;3;7;64.69;NC;frequents;long;CVCVCVC;CVCVCV;0
secret;3;6;59.25;NC;frequents;long;CVCCVC;CVCCV;0
sifflet;3;7;32.69;NC;rares;long;CVCCCVC;CVCCV;0
sujet;3;5;0.52;NC;rares;court;CVCVC;CVCV;0
violet;3;6;19.11;NC;rares;long;CVVCVC;CYVCV;0
au;3;2;4773.8;DET;frequents;court;VV;V;0
aussi;3;5;1355.04;ADV;frequents;court;VVCCV;VCV;0
auto;3;4;108.98;NC;frequents;court;VVCV;VCV;0
autre;3;5;395.06;ADJ;frequents;court;VVCCV;VCC;0
bateau;3;6;190.37;NC;frequents;long;CVCVVV;CVCV;0
bureau;3;6;49.65;NC;frequents;long;CVCVVV;CVCV;0
chameau;3;7;41.33;NC;frequents;long;CCVCVVV;CVCV;0
chaude;3;6;65.21;ADJ;frequents;long;CCVVCV;CVC;0
corbeau;3;7;179.13;NC;frequents;long;CVCCVVV;CVCCV;0
couteau;3;7;80.54;NC;frequents;long;CVVCVVV;CVCV;0
eau;3;3;1148.41;NC;frequents;court;VVV;V;0
épaule;3;6;48.51;NC;frequents;long;VCVVCV;VCVC;0
faucon;3;6;5.52;NC;rares;long;CVVCVC;CVCV;0
fauve;3;5;8.22;NC;rares;court;CVVCV;CVC;0
jaune;3;5;275.57;ADJ;frequents;court;CVVCV;CVC;0
marteau;3;7;53.99;NC;frequents;long;CVCCVVV;CVCCV;0
niveau;3;6;0.61;NC;rares;long;CVCVVV;CVCV;0
pause;3;5;7.44;NC;rares;court;CVVCV;CVC;0
sauce;3;5;28.79;NC;rares;court;CVVCV;CVC;0
sauf;3;4;32.72;PRE;rares;court;CVVC;CVC;0
courant;3;7;61.07;VER;frequents;long;CVVCVCC;CVCV;0
criant;3;6;18.46;VER;rares;long;CCVVCC;CCVYV;0
jouant;3;6;15.59;VER;rares;long;CVVVCC;CYV;0
lisant;3;6;3.69;VER;rares;long;CVCVCC;CVCV;0
riant;3;5;36;VER;rares;court;CVVCC;CYV;0
vivant;3;6;0.5;ADJ;rares;long;CVCVCC;CVCV;0
volant;3;6;10.77;NC;rares;long;CVCVCC;CVCV;0
dehors;3;6;126.56;ADV;frequents;long;CVCVCC;CVVC;0
habite;3;6;153.92;VER;frequents;long;CVCVCV;VCVC;1
haricot;3;7;23.11;NC;rares;long;CVCVCVC;VCVCV;0
haut;3;4;164.38;NC;frequents;court;CVVC;V;0
herbe;3;5;153.72;NC;frequents;court;CVCCV;VCC;0
hier;3;4;63.77;ADV;frequents;court;CVVC;YVC;0
histoire;3;8;852.75;NC;frequents;long;CVCCVVCV;VCCYVC;0
hiver;3;5;355.47;NC;frequents;court;CVCVC;VCVC;0
horloge;3;7;58.08;NC;frequents;long;CVCCVCV;VCCVC;0
émotion;3;7;0.3;NC;rares;long;VCVCVVC;VCVCYV;0
natation;3;8;22.16;NC;rares;long;CVCVCVVC;CVCVCYV;0
patient;3;7;0.5;ADJ;rares;long;CVCVVCC;CVCYV;0
potion;3;6;0.15;NC;rares;long;CVCVVC;CVCYV;0
solution;3;8;27.08;NC;rares;long;CVCVCVVC;CVCVCYV;0
station;3;7;26.37;NC;rares;long;CCVCVVC;CCVCYV;0
axe;3;3;0.3;NC;rares;court;VCV;VCC;1
boxe;3;4;51.14;NC;frequents;court;CVCV;CVCC;1
excuser;3;7;0.53;VER;rares;long;VCCVCVC;VCCCVCV;0
fixer;3;5;8.22;VER;rares;court;CVCVC;CVCCV;0
taxi;3;4;126.29;NC;frequents;court;CVCV;CVCCV;1
agneau;3;6;105.81;NC;frequents;long;VCCVVV;VCV;0
campagne;3;8;155.93;NC;frequents;long;CVCCVCCV;CVCVC;0
gagnant;3;7;14.49;NC;rares;long;CVCCVCC;CVCV;0
gagné;3;5;104.98;VER;frequents;court;CVCCV;CVCV;0
grignote;3;8;59;VER;frequents;long;CCVCCVCV;CCVCVC;0
grogne;3;6;35.51;VER;rares;long;CCVCCV;CCVC;0
guignol;3;7;75.35;NC;frequents;long;CVVCCVC;CVCVC;0
ligne;3;5;184.72;NC;frequents;court;CVCCV;CVC;0
mignon;3;6;52;ADJ;frequents;long;CVCCVC;CVCV;0
poignet;3;7;1.21;NC;rares;long;CVVCCVC;CYVCV;0
signal;3;6;73.21;NC;frequents;long;CVCCVC;CVCVC;0
signe;3;5;56.03;NC;frequents;court;CVCCV;CVC;0
soigne;3;6;56.93;VER;frequents;long;CVVCCV;CYVC;0
vigne;3;5;19.07;NC;rares;court;CVCCV;CVC;0
aide;2;4;53.12;NC;frequents;court;VVCV;VC;0
aigle;2;5;3.64;NC;rares;court;VVCCV;VCC;0
aile;2;4;63.96;NC;frequents;court;VVCV;VC;0
aimer;3;5;5.52;VER;rares;court;VVCVC;VCV;0
air;2;3;437.83;NC;frequents;court;VVC;VC;0
balai;2;5;108.18;NC;frequents;court;CVCVV;CVCV;0
caisse;2;6;126.75;NC;frequents;long;CVVCCV;CVC;0
chaise;3;6;142.49;NC;frequents;long;CCVVCV;CVC;0
craie;2;5;13.56;NC;rares;court;CCVVV;CCV;0
éclair;2;6;30.9;NC;rares;long;VCCVVC;VCCVC;0
faible;2;6;1.22;NC;rares;long;CVVCCV;CVCC;0
faire;2;5;2007.37;VER;frequents;court;CVVCV;CVC;0
fait;2;4;2495.73;VER;frequents;court;CVVC;CV;0
fraise;3;6;113.24;NC;frequents;long;CCVVCV;CCVC;0
laine;2;5;160.91;NC;frequents;court;CVVCV;CVC;0
lait;2;4;374.37;NC;frequents;court;CVVC;CV;0
laitue;2;6;16.61;NC;rares;long;CVVCVV;CVCV;0
mai;2;3;5.24;NC;rares;court;CVV;CV;0
maison;3;6;1460.96;NC;frequents;long;CVVCVC;CVCV;0
paire;2;5;70.07;NC;frequents;court;CVVCV;CVC;0
plaisir;3;7;38.96;NC;rares;long;CCVVCVC;CCVCVC;0
quai;2;4;22.11;NC;rares;court;CVVV;CV;0
raisins;3;7;3.98;NC;rares;long;CVVCVCC;CVCV;0
allez;3;5;106.07;VER;frequents;court;VCCVC;VCV;0
nez;3;3;566.92;NC;frequents;court;CVC;CV;0
bavard;3;6;3.83;ADJ;rares;long;CVCVCC;CVCVC;0
blanc;3;5;297.43;ADJ;frequents;court;CCVCC;CCV;0
blond;3;5;25.92;ADJ;rares;court;CCVCC;CCV;0
bord;3;4;356.78;NC;frequents;court;CVCC;CVC;0
chaud;3;5;133.58;ADJ;frequents;court;CCVVC;CV;0
coup;3;4;491.02;NC;frequents;court;CVVC;CV;0
crapaud;3;7;18.4;NC;rares;long;CCVCVVC;CCVCV;0
fond;3;4;112.48;NC;frequents;court;CVCC;CV;0
froid;3;5;172.72;ADJ;frequents;court;CCVVC;CCYV;0
fusil;3;5;44.6;NC;frequents;court;CVCVC;CVCV;0
galop;3;5;13.46;NC;rares;court;CVCVC;CVCV;0
grand;3;5;642.3;ADJ;frequents;court;CCVCC;CCV;0
lézard;3;6;51.66;NC;frequents;long;CVCVCC;CVCVC;0
long;3;4;59.31;NC;frequents;court;CVCC;CV;0
loup;3;4;516.75;NC;frequents;court;CVVC;CV;0
lourd;3;5;8.27;ADJ;rares;court;CVVCC;CVC;0
nid;3;3;222.91;NC;frequents;court;CVC;CV;0
nord;3;4;39.13;NC;rares;court;CVCC;CVC;0
porc;3;4;3.9;NC;rares;court;CVCC;CVC;0
quand;3;5;1087.42;CON;frequents;court;CVVCC;CV;0
rang;3;4;8.46;NC;rares;court;CVCC;CV;0
renard;3;6;405.76;NC;frequents;long;CVCVCC;CVCVC;0
sirop;3;5;70.37;NC;frequents;court;CVCVC;CVCV;0
tard;3;4;228.79;ADV;frequents;court;CVCC;CVC;0
tronc;3;5;21.72;NC;rares;court;CCVCC;CCV;0
trop;3;4;728.61;ADV;frequents;court;CCVC;CCV;0
vend;3;4;62.03;VER;frequents;court;CVCC;CV;0
bille;3;5;55.67;NC;frequents;court;CVCCV;CVY;0
brillant;3;8;16.37;ADJ;rares;long;CCVCCVCC;CCVYV;0
brille;3;6;82.63;VER;frequents;long;CCVCCV;CCVY;0
briller;3;7;19.24;VER;rares;long;CCVCCVC;CCVYV;0
chenille;3;8;10.71;NC;rares;long;CCVCVCCV;CVCVY;0
cheville;3;8;10.75;NC;rares;long;CCVCVCCV;CVCVY;0
coquille;3;8;54.03;NC;frequents;long;CVCVVCCV;CVCVY;0
famille;3;7;236.58;NC;frequents;long;CVCVCCV;CVCVY;0
fille;3;5;400.03;NC;frequents;court;CVCCV;CVY;0
gorille;3;7;13.23;NC;rares;long;CVCVCCV;CVCVY;0
grille;3;6;68.32;NC;frequents;long;CCVCCV;CCVY;0
quille;3;6;32.99;NC;rares;long;CVVCCV;CVY;0
billet;3;6;46.41;NC;frequents;long;CVCCVC;CVYV;0
bleu;4;4;230.29;ADJ;frequents;court;CCVV;CCV;0
deux;4;4;1241.7;ADJ;frequents;court;CVVC;CV;0
eux;4;3;211.09;PRO;frequents;court;VVC;V;0
feu;4;3;477.66;NC;frequents;court;CVV;CV;0
feutre;4;6;1.21;NC;rares;long;CVVCCV;CVCC;0
fleuve;4;6;32.93;NC;rares;long;CCVVCV;CCVC;0
jeu;4;3;288.65;NC;frequents;court;CVV;CV;0
jeudi;4;5;119.2;NC;frequents;court;CVVCV;CVCV;0
jeune;4;5;123.81;ADJ;frequents;court;CVVCV;CVC;0
neuve;4;5;5.05;ADJ;rares;court;CVVCV;CVC;0
neveu;4;5;0.43;NC;rares;court;CVCVV;CVCV;0
peu;4;3;828.41;ADV;frequents;court;CVV;CV;0
chaton;4;6;37.71;NC;rares;long;CCVCVC;CVCV;0
envoyer;4;7;32.77;VER;rares;long;VCCVVVC;VCYVYV;0
loyer;4;5;6.84;NC;rares;court;CVVVC;CYVYV;0
noyau;4;5;75.67;NC;frequents;court;CVVVV;CYVYV;0
noyer;4;5;19.3;VER;rares;court;CVVVC;CYVYV;0
royaume;4;7;34.13;NC;rares;long;CVVVVCV;CYVYVC;0
voyage;4;6;193.95;NC;frequents;long;CVVVCV;CYVYVC;0
voyager;4;7;10.44;VER;rares;long;CVVVCVC;CYVYVCV;0
voyant;4;6;63.36;VER;frequents;long;CVVVCC;CYVYV;0
voyelle;4;7;13.41;NC;rares;long;CVVVCCV;CYVYVC;0
ail;4;3;8.26;NC;rares;court;VVC;VY;0
bétail;4;6;0.62;NC;rares;long;CVCVVC;CVCVY;0
détail;4;6;22.31;NC;rares;long;CVCVVC;CVCVY;0
émail;4;5;0.3;NC;rares;court;VCVVC;VCVY;0
fenouil;4;7;18.27;NC;rares;long;CVCVVVC;CVCVY;0
orteil;4;6;18.41;NC;rares;long;VCCVVC;VCCVY;0
pareil;4;6;10.75;ADJ;rares;long;CVCVVC;CVCVY;0
portail;4;7;33.75;NC;rares;long;CVCCVVC;CVCCVY;0
réveil;4;6;103;NC;frequents;long;CVCVVC;CVCVY;0
soleil;4;6;594;NC;frequents;long;CVCVVC;CVCVY;0
travail;4;7;214.01;NC;frequents;long;CCVCVVC;CCVCVY;0
abeille;4;7;58.58;NC;frequents;long;VCVVCCV;VCVY;0
bataille;4;8;12.33;NC;rares;long;CVCVVCCV;CVCVY;0
bouillir;4;8;0.62;VER;rares;long;CVVVCCVC;CVYVC;0
bouillon;4;8;13.48;NC;rares;long;CVVVCCVC;CVYV;0
caillou;4;7;35.13;NC;rares;long;CVVCCVV;CVYV;0
cailloux;4;8;28.69;NC;rares;long;CVVCCVVC;CVYV;0
écaille;4;7;3.89;NC;rares;long;VCVVCCV;VCVY;0
maillot;4;7;80.87;NC;frequents;long;CVVCCVC;CVYV;0
médaille;4;8;16.2;NC;rares;long;CVCVVCCV;CVCVY;0
mouiller;4;8;22.95;VER;rares;long;CVVVCCVC;CVYV;0
muraille;4;8;5.43;NC;rares;long;CVCVVCCV;CVCVY;0
paille;4;6;82.51;NC;frequents;long;CVVCCV;CVY;0
taille;4;6;50.31;NC;frequents;long;CVVCCV;CVY;0
volaille;4;8;0.43;NC;rares;long;CVCVVCCV;CVCVY;0
alphabet;4;8;12.53;NC;rares;long;VCCCVCVC;VCCVCV;0
dauphin;4;7;37.8;NC;rares;long;CVVCCVC;CVCV;0
éléphant;4;8;262.85;NC;frequents;long;VCVCCVCC;VCVCV;0
phare;4;5;73.02;NC;frequents;court;CCVCV;CVC;0
phoque;4;6;88.47;NC;frequents;long;CCVCVV;CVC;0
photo;4;5;212.61;NC;frequents;court;CCVCV;CVCV;0
phrase;4;6;123.21;NC;frequents;long;CCCVCV;CCVC;0
baleine;4;7;72.93;NC;frequents;long;CVCVVCV;CVCVC;0
freine;4;6;5.57;VER;rares;long;CCVVCV;CCVC;0
neige;4;5;550.3;NC;frequents;court;CVVCV;CVC;0
neiger;4;6;8.36;VER;rares;long;CVVCVC;CVCV;0
reine;4;5;160.61;NC;frequents;court;CVVCV;CVC;0
seize;4;5;22.32;ADJ;rares;court;CVVCV;CVC;0
treize;4;6;8.26;ADJ;rares;long;CCVVCV;CCVC;0
yeux;4;4;473.66;NC;frequents;court;VVVC;YV;0
youpi;4;5;1.13;INT;rares;court;VVVCV;YVCV;0
yoyo;4;4;0.62;NC;rares;court;VVVV;YVYV;0
y;1;1;2297.87;PRO;frequents;court;V;V;1
lu;1;2;134.97;VER;frequents;court;CV;CV;0
mémé;1;4;0.38;NC;rares;court;CVCV;CVCV;1
salué;1;5;0.62;VER;rares;court;CVCVV;CVCYV;0
vis;1;3;3.89;VER;rares;court;CVC;CV;0
vomi;1;4;0.61;VER;rares;court;CVCV;CVCV;1
ré;1;2;10.67;NC;rares;court;CV;CV;0
mûrir;1;5;3.9;VER;rares;court;CVCVC;CVCVC;0
mars;1;4;28.6;NC;rares;court;CVCC;CVCC;0
soulevé;1;7;0.61;VER;rares;long;CVVCVCV;CVCVCV;0
souri;1;5;0.61;VER;rares;court;CVVCV;CVCV;0
réussir;1;7;3.82;VER;rares;long;CVVCCVC;CVVCVC;0
voulu;1;5;63.43;VER;frequents;court;CVVCV;CVCV;0
réussi;1;6;16.18;VER;rares;long;CVVCCV;CVVCV;0
velours;1;7;5.55;NC;rares;long;CVCVVCC;CVCVC;0
vivre;1;5;35.61;VER;rares;court;CVCCV;CVCC;0
ouvre;1;5;359.53;VER;frequents;court;VVCCV;VCC;0
sourire;1;7;65.17;NC;frequents;long;CVVCVCV;CVCVC;0
rousse;1;6;41.39;ADJ;frequents;long;CVVCCV;CVC;0
lilas;1;5;89.93;NC;frequents;court;CVCVC;CVCV;0
louve;1;5;0.61;NC;rares;court;CVVCV;CVC;0
livre;1;5;609.2;NC;frequents;court;CVCCV;CVCC;0
mûre;1;4;8.36;ADJ;rares;court;CVCV;CVC;1
loue;1;4;1.21;VER;rares;court;CVVV;CV;0
arrivée;1;7;107.47;NC;frequents;long;VCCVCVV;VCVCV;0
roule;1;5;85.97;VER;frequents;court;CVVCV;CVC;0
valse;1;5;0.38;NC;rares;court;CVCCV;CVCC;0
alors;1;5;1038.09;ADV;frequents;court;VCVCC;VCVC;0
savonne;1;7;0.5;VER;rares;long;CVCVCCV;CVCVC;0
sonnerie;1;8;8.25;NC;rares;long;CVCCVCVV;CVCVCV;0
âne;1;3;187.87;NC;frequents;court;VCV;VC;1
alarme;1;6;13.49;NC;rares;long;VCVCCV;VCVCC;0
lui;1;3;2932.5;PRO;frequents;court;CVV;CYV;0
suis;1;4;862.24;VER;frequents;court;CVVC;CYV;0
nuit;1;4;766.74;NC;frequents;court;CVVC;CYV;0
minuit;1;6;28.95;NC;rares;long;CVCVVC;CVCYV;0
suite;1;5;217.89;NC;frequents;court;CVVCV;CYVC;0
suivi;1;5;5.28;VER;rares;court;CVVCV;CYVCV;0
vit;1;3;212.31;VER;frequents;court;CVC;CV;0
sort;1;4;325.45;VER;frequents;court;CVCC;CVC;0
avale;1;5;34.75;VER;rares;court;VCVCV;VCVC;1
où;1;2;1162.05;PRO;frequents;court;VV;V;0
fou;1;3;108.19;ADJ;frequents;court;CVV;CV;0
ouf;1;3;68.91;INT;frequents;court;VVC;VC;0
fil;1;3;259.56;NC;frequents;court;CVC;CVC;0
fourmi;1;6;64.62;NC;frequents;long;CVVCCV;CVCCV;0
film;1;4;72.62;NC;frequents;court;CVCC;CVCC;0
mât;1;3;12.09;NC;rares;court;CVC;CV;0
fuit;1;4;16.39;VER;rares;court;CVVC;CYV;0
fuir;1;4;3.89;VER;rares;court;CVVC;CYVC;0
fruit;1;5;67.88;NC;frequents;court;CCVVC;CCYV;0
soufflé;1;7;3.9;VER;rares;long;CVVCCCV;CVCCV;0
ramasse;1;7;61.53;VER;frequents;long;CVCVCCV;CVCVC;0
souffre;1;7;7.43;VER;rares;long;CVVCCCV;CVCC;0
offre;1;5;40;VER;rares;court;VCCCV;VCC;0
Chine;1;5;10.2;NP;rares;court;CCVCV;CVC;0
marche;1;6;255.92;VER;frequents;long;CVCCCV;CVCC;0
offrir;1;6;19.53;VER;rares;long;VCCCVC;VCCVC;0
achat;1;5;3.96;NC;rares;court;VCCVC;VCV;0
râle;1;4;0.62;VER;rares;court;CVCV;CVC;1
mâche;1;5;0.52;VER;rares;court;CVCCV;CVC;0
je;1;2;6741.35;PRO;frequents;court;CV;CV;0
ramené;1;6;12.06;VER;rares;long;CVCVCV;CVCVCV;1
foule;1;5;43.59;NC;frequents;court;CVVCV;CVC;0
samedi;1;6;141.14;NC;frequents;long;CVCVCV;CVCVCV;1
limonade;1;8;48.17;NC;frequents;long;CVCVCVCV;CVCVCVC;0
dessous;1;7;0.52;NC;rares;long;CVCCVVC;CVCV;0
déjà;1;4;394.77;ADV;frequents;court;CVCV;CVCV;1
admire;1;6;30.9;VER;rares;long;VCCVCV;VCCVC;0
lionne;1;6;0.61;NC;rares;long;CVVCCV;CYVC;0
allume;1;6;76.03;VER;frequents;long;VCCVCV;VCVC;0
ananas;1;6;63.38;NC;frequents;long;VCVCVC;VCVCV;0
sommes;1;6;58.35;VER;frequents;long;CVCCVC;CVC;0
tôt;1;3;67.91;ADV;frequents;court;CVC;CV;0
tout;1;4;1587.52;ADV;frequents;court;CVVC;CV;0
tous;1;4;920.86;ADJ;frequents;court;CVVC;CVC;0
toute;1;5;582.36;ADJ;frequents;court;CVVCV;CVC;0
chuchote;1;8;57.32;VER;frequents;long;CCVCCVCV;CVCVC;0
marmotte;1;8;19.29;NC;rares;long;CVCCVCCV;CVCCVC;0
touche;1;6;48.43;VER;frequents;long;CVVCCV;CVC;0
fuite;1;5;8.19;NC;rares;court;CVVCV;CYVC;0
frite;1;5;0.3;ADJ;rares;court;CCVCV;CCVC;0
flûte;1;5;78.53;NC;frequents;court;CCVCV;CCVC;0
dorée;1;5;8.39;ADJ;rares;court;CVCVV;CVCV;0
foire;1;5;47.26;NC;frequents;court;CVVCV;CYVC;0
soirée;1;6;16.18;NC;rares;long;CVVCVV;CYVCV;0
revoir;1;6;26.02;NC;rares;long;CVCVVC;CVCYVC;0
voilà;1;5;610.82;PRE;frequents;court;CVVCV;CYVCV;0
voiture;1;7;757.22;NC;frequents;long;CVVCVCV;CYVCVC;0
voie;1;4;3.72;NC;rares;court;CVVV;CYV;0
assoit;1;6;84.04;VER;frequents;long;VCCVVC;VCYV;0
pot;1;3;374.59;NC;frequents;court;CVC;CV;0
appétit;1;7;56.99;NC;frequents;long;VCCVCVC;VCVCV;0
patate;1;6;1.87;NC;rares;long;CVCVCV;CVCVC;1
pyramide;1;8;9.54;NC;rares;long;CVCVCVCV;CVCVCVC;0
petite;1;6;1144.99;ADJ;frequents;long;CVCVCV;CVCVC;1
patte;1;5;331.43;NC;frequents;court;CVCCV;CVC;0
ordre;1;5;67.5;NC;frequents;court;VCCCV;VCCC;0
litre;1;5;44.62;NC;frequents;court;CVCCV;CVCC;0
titre;1;5;44.02;NC;frequents;court;CVCCV;CVCC;0
vitre;1;5;10.58;NC;rares;court;CVCCV;CVCC;0
prime;1;5;0.38;NC;rares;court;CCVCV;CCVC;0
truite;1;6;23.9;NC;rares;long;CCVVCV;CCYVC;0
trouve;1;6;576.24;VER;frequents;long;CCVVCV;CCVC;0
plâtre;1;6;25.02;NC;rares;long;CCVCCV;CCVCC;0
attrapé;1;7;34;VER;rares;long;VCCCVCV;VCCVCV;0
prépare;1;7;185.61;VER;frequents;long;CCVCVCV;CCVCVC;0
repas;1;5;237.51;NC;frequents;court;CVCVC;CVCV;0
soupe;1;5;131.73;NC;frequents;court;CVVCV;CVC;0
molle;1;5;10.69;ADJ;rares;court;CVCCV;CVC;0
pomme;1;5;465.49;NC;frequents;court;CVCCV;CVC;0
réparé;1;6;19.23;VER;rares;long;CVCVCV;CVCVCV;1
vipère;2;6;36.21;NC;rares;long;CVCVCV;CVCVC;1
près;2;4;421.7;PRE;frequents;court;CCVC;CCV;0
forêt;2;5;514.83;NC;frequents;court;CVCVC;CVCV;0
fête;2;4;460.26;NC;frequents;court;CVCV;CVC;1
être;2;4;464.98;VER;frequents;court;VCCV;VCC;0
arête;2;5;67.06;NC;frequents;court;VCVCV;VCVC;1
chêne;2;5;62.95;NC;frequents;court;CCVCV;CVC;0
même;2;4;518.65;ADV;frequents;court;CVCV;CVC;1
pêche;2;5;163.2;NC;frequents;court;CVCCV;CVC;0
prête;2;5;28.91;VER;rares;court;CCVCV;CCVC;0
rêve;2;4;134.9;NC;frequents;court;CVCV;CVC;1
tête;2;4;907.81;NC;frequents;court;CVCV;CVC;1
préfère;2;7;66.8;VER;frequents;long;CCVCVCV;CCVCVC;0
plus;2;4;2771.16;ADV;frequents;court;CCVC;CCV;0
fenêtre;2;7;357.81;NC;frequents;long;CVCVCCV;CVCVCC;0
caché;2;5;58.71;VER;frequents;court;CVCCV;CVCV;0
calme;2;5;16.22;ADJ;rares;court;CVCCV;CVCC;0
écoute;2;6;269.57;VER;frequents;long;VCVVCV;VCVC;0
cuisse;2;6;3.8;NC;rares;long;CVVCCV;CYVC;0
calcul;2;6;34.22;NC;rares;long;CVCCVC;CVCCVC;0
picore;2;6;1.19;VER;rares;long;CVCVCV;CVCVC;1
fracas;2;6;3.97;NC;rares;long;CCVCVC;CCVCV;0
cocorico;2;8;8.22;NC;rares;long;CVCVCVCV;CVCVCVCV;0
crêpe;2;5;16.27;NC;rares;court;CCVCV;CCVC;0
canari;2;6;10.72;NC;rares;long;CVCVCV;CVCVCV;1
carie;2;5;0.61;NC;rares;court;CVCVV;CVCV;0
carpe;2;5;2.13;NC;rares;court;CVCCV;CVCC;0
cuire;2;5;88.25;VER;frequents;court;CVVCV;CYVC;0
cascade;2;7;10.52;NC;rares;long;CVCCVCV;CVCCVC;0
coule;2;5;49.41;VER;frequents;court;CVVCV;CVC;0
étude;2;5;0.43;NC;rares;court;VCVCV;VCVC;1
parle;2;5;163.78;VER;frequents;court;CVCCV;CVCC;0
postale;2;7;40.83;ADJ;frequents;long;CVCCVCV;CVCCVC;0
bus;2;3;0.61;NC;rares;court;CVC;CV;0
bricole;2;7;0.38;VER;rares;long;CCVCVCV;CCVCVC;0
abricot;2;7;28.58;NC;rares;long;VCCVCVC;VCCVCV;0
bête;2;4;137.91;NC;frequents;court;CVCV;CVC;1
